date,pilates socks,toe spacers,blue light therapy acne,personalized christmas ornament,rotary tape cutter gift wrap,cylindrical wrapping paper cutter,weighted hula hoop,compression boots,collagen powder
2024-10-06,42,62,0,15,0,0,41,55,53
2024-10-13,44,61,0,22,0,0,33,53,56
2024-10-20,51,65,0,22,0,0,41,53,56
2024-10-27,49,72,0,36,0,0,49,51,54
2024-11-03,43,58,33,44,0,0,55,62,46
2024-11-10,63,68,54,62,0,0,41,55,53
2024-11-17,82,57,46,75,0,0,67,64,58
2024-11-24,91,71,36,77,100,0,48,100,48
2024-12-01,100,71,52,100,0,0,32,73,47
2024-12-08,98,79,38,85,0,0,43,82,44
2024-12-15,90,63,47,51,0,0,47,76,46
2024-12-22,76,71,90,27,0,0,57,97,52
2024-12-29,86,84,100,8,0,0,100,76,77
2025-01-05,80,65,45,7,0,0,62,54,80
2025-01-12,87,62,34,0,0,100,93,62,84
2025-01-19,95,76,39,6,0,0,70,52,76
2025-01-26,82,75,48,0,0,0,81,55,74
2025-02-02,86,77,41,0,0,0,79,56,72
2025-02-09,76,44,43,0,0,0,55,52,60
2025-02-16,77,70,55,0,0,0,68,49,75
2025-02-23,83,58,47,0,0,0,57,55,72
2025-03-02,75,65,47,0,0,0,47,60,73
2025-03-09,68,73,30,0,0,0,84,54,73
2025-03-16,77,67,33,0,0,0,74,53,80
2025-03-23,74,74,55,0,0,0,69,62,76
2025-03-30,65,64,33,0,0,0,83,56,73
2025-04-06,72,68,38,4,0,0,64,53,70
2025-04-13,65,71,25,0,0,0,51,54,71
2025-04-20,62,74,39,4,0,0,35,61,70
2025-04-27,68,82,30,0,0,0,60,55,73
2025-05-04,70,66,33,4,0,0,50,58,71
2025-05-11,68,71,0,0,0,0,43,54,70
2025-05-18,61,77,0,0,0,0,55,52,67
2025-05-25,63,83,53,0,0,0,61,61,67
2025-06-01,69,90,26,0,0,0,61,50,68
2025-06-08,71,84,0,0,0,0,68,89,72
2025-06-15,62,69,28,4,0,0,66,89,72
2025-06-22,68,82,27,0,0,0,68,61,64
2025-06-29,64,71,0,5,0,0,66,55,66
2025-07-06,76,79,45,0,0,0,58,74,73
2025-07-13,73,80,0,0,0,0,82,66,78
2025-07-20,74,89,0,5,0,0,82,67,87
2025-07-27,73,87,44,7,0,0,91,78,100
2025-08-03,70,80,29,6,0,0,51,82,76
2025-08-10,71,100,0,6,0,0,48,77,74
2025-08-17,70,89,32,9,0,0,53,71,68
2025-08-24,66,69,26,5,0,0,54,71,64
2025-08-31,66,82,32,8,0,0,82,68,63
2025-09-07,61,65,0,8,0,0,43,62,61
2025-09-14,61,58,27,8,0,0,49,63,62
2025-09-21,69,61,11,8,0,0,36,65,62
2025-09-28,66,61,26,12,0,0,45,63,62
2025-10-05,67,66,30,14,0,0,44,69,65
