rank,name,source,category,source_price,final_score,demand_score,margin_score,competition_score,recency_score,quality_score
1,accessories for air fryer,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
2,instant pot air fryer accessories,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
3,nuwave air fryer accessories,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
4,ultrean air fryer accessories,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
5,sur la table air fryer accessories,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
6,air fryer oven accessories,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
7,emeril lagasse air fryer,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
8,sony wf-1000xm5 wireless noise canceling earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
9,best wireless earbuds 2026,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
10,cosori air fryer,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
11,ninja air fryer,google_trends,kitchen,0.0,40.9,0.5,0.1,0.7,0.2,0.44
12,best wireless earbuds for working out,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
13,jlab go air sport true wireless earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
14,bose quietcomfort ultra wireless noise cancelling earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
15,rog cetra open wireless gaming earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
16,jlab go air pop,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
17,icon true wireless earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
18,best wireless earbuds for calls,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
19,best earbuds 2026,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
20,veatool wireless earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
21,best wireless earbuds,google_trends,electronics,0.0,40.9,0.5,0.1,0.7,0.2,0.44
22,ninja accessories,google_trends,kitchen,0.0,39.7,0.5,0.1,0.7,0.2,0.32
23,best earbuds,google_trends,electronics,0.0,39.7,0.5,0.1,0.7,0.2,0.32
24,s26 ultra phone case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
25,phone case iphone 17,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
26,core exercises with resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
27,are resistance bands better than weights,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
28,are resistance bands good for building muscle,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
29,go fit resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
30,x3 resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
31,y shaped dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
32,dog harness no pull,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
33,lifeproof phone case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
34,waterproof phone case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
35,quad lock phone case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
36,phone case near me,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
37,iphone 17 case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
38,gofit resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
39,whatafit resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
40,best resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
41,workout resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
42,exercise resistance bands,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
43,curli dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
44,bolux dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
45,bullhug dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
46,coastal dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
47,truelove dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
48,joyride dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
49,best dog harness,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
50,harness for dogs,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
51,how to use resistance bands for pull ups,google_trends,fitness,0.0,38.1,0.42,0.1,0.7,0.2,0.44
52,needoh phone case,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
53,speck phone cases,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
54,how to put on a dog harness diagram,google_trends,kids_pets,0.0,38.1,0.42,0.1,0.7,0.2,0.44
55,lidl near me,google_trends,electronics,0.0,38.1,0.42,0.1,0.7,0.2,0.44
56,Test Widget,amazon,electronics,24.99,37.25,0.27,0.1,0.7,0.2,0.88
57,resistance band,google_trends,fitness,0.0,36.9,0.42,0.1,0.7,0.2,0.32
58,workout bands,google_trends,fitness,0.0,36.9,0.42,0.1,0.7,0.2,0.32
59,dog leash,google_trends,kids_pets,0.0,36.9,0.42,0.1,0.7,0.2,0.32
60,iphone case,google_trends,electronics,0.0,36.9,0.42,0.1,0.7,0.2,0.32
61,iphone 17,google_trends,electronics,0.0,36.9,0.42,0.1,0.7,0.2,0.32
